"id","email","lat","lng","role","distance_km","score","InFiltered","Reason"
"23","wp1_12@example.com","-27.424401","-48.496253","worker","0,007973","0,999468","False","fora_do_filtro_manual"
"15","wp1_4@example.com","-27.424205","-48.496629","worker","0,044704","0,997020","False","fora_do_filtro_manual"
"20","wp1_9@example.com","-27.424078","-48.496622","worker","0,050763","0,996616","False","fora_do_filtro_manual"
"14","wp1_3@example.com","-27.42437","-48.496824","worker","0,061262","0,995916","False","fora_do_filtro_manual"
"19","wp1_8@example.com","-27.424896","-48.496123","worker","0,061898","0,995873","False","fora_do_filtro_manual"
"16","wp1_5@example.com","-27.424634","-48.495626","worker","0,065531","0,995631","False","fora_do_filtro_manual"
"12","wp1_1@example.com","-27.424362","-48.496878","worker","0,066553","0,995563","False","fora_do_filtro_manual"
"17","wp1_6@example.com","-27.425051","-48.496667","worker","0,090932","0,993938","False","dist>0.08"
"13","wp1_2@example.com","-27.423597","-48.495756","worker","0,094099","0,993727","False","dist>0.08"
"22","wp1_11@example.com","-27.425153","-48.49653","worker","0,095538","0,993631","False","dist>0.08"
"18","wp1_7@example.com","-27.424014","-48.495215","worker","0,104283","0,993048","False","dist>0.08"
"21","wp1_10@example.com","-27.423394","-48.496003","worker","0,107482","0,992835","False","dist>0.08"
"6","w5@example.com","-27.429204","-48.499233","worker","0,617587","0,958828","False","dist>0.08|score<0.99"
"8","w7@example.com","-27.429704","-48.499246","worker","0,667356","0,955510","False","dist>0.08|score<0.99"
"11","w10@example.com","-27.429753","-48.499379","worker","0,678191","0,954787","False","dist>0.08|score<0.99"
"10","w9@example.com","-27.429842","-48.499715","worker","0,702729","0,953151","False","dist>0.08|score<0.99"
"9","w8@example.com","-27.429675","-48.50003","worker","0,702838","0,953144","False","dist>0.08|score<0.99"
"7","w6@example.com","-27.429813","-48.500246","worker","0,727299","0,951513","False","dist>0.08|score<0.99"
"5","w4@example.com","-27.430058","-48.500613","worker","0,770098","0,948660","False","dist>0.08|score<0.99"
"4","w1@example.com","-27.430623","-48.50062","worker","0,823063","0,945129","False","dist>0.08|score<0.99"
"3","w3@example.com","-27.4306","-48.5008","worker","0,830464","0,944636","False","dist>0.08|score<0.99"
"1","prod@example.com","-27.431","-48.502","worker","0,935415","0,937639","False","dist>0.08|score<0.99"
"2","w2@example.com","-27.432","-48.505","worker","1,215883","0,918941","False","dist>0.08|score<0.99"
